id,description,md5,foxdog,hexdigits,lorem,punctuation,whitespace,zebra
1,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then convert the string s to lowercase,d3c8784cd5ed3a95b94f93c01612245f,th!quick!brown!fox!jumps!ovr!a!lazy!dog!,0123456789abcdfabcdef,"lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~","!	
",how!quickly!daft!jumping!zbras!vx!
2,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove the first and last two characters of the string,fd12ec9239a96831a3e79488ee36af51,!quick!brown!fox!jumps!ovr!a!lazy!do,23456789abcdfABCD,"rm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|","
",w!quickly!daft!jumping!zbras!v
3,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove every third character from the string,52212c14495c9ba57e0da6f6019d1343,h!uik!ron!oxjupsov!alay!og,124578abdfBCEF,"or!isu!dlo!st!mt!cnsttr!diisin!lt,sddoiumo!tpo!iciidntutlaort!olr!aga!liua!U!nm!d!inm!nim,qus!osru!xciatonulamo!abri!nsiutalqup!!acomoo!onqut.Dus!utirr!olr!n!prnditinvoupatvlt!s!ilumdooru!ugatnulapaiaur!Ecpursit!ccca!cpiatt!onpridt,sut!n!ula!uiofica!srntmoli!aimidstlaorm?","""#%&()+,./;<>?[\^_{|~","	
",owqucky!af!jmpngzbasvx
4,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then drop the last half of the string, as computed by characters",c639e249a87158739e199acbb18e1e0e,Th!quick!brown!fox!j,0123456789,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!","!""#$%&'()*+,-./:","!	
",How!quickly!daft!
5,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then reverse the order of words in the string,a700c3044b70c3bd90c92a36ab4af837,Th!quick!brown!fox!jumps!ovr!a!lazy!dog!,0123456789abcdfABCDEF,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",!,How!quickly!daft!jumping!zbras!vx!
6,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then add the word apples after every word in the string,b0ae2c44b1a8c501288716fa96d56866,Th!quick!brown!fox!jumps!ovr!a!lazy!dog! apples,0123456789abcdfABCDEF apples,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",! apples,How!quickly!daft!jumping!zbras!vx! apples
7,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then make every other character in the string uppercase,f064ea0497397edaf3cb9368c7a9ea3e,Th!qUiCk!bRoWn!fOx!jUmPs!oVr!a!lAzY!DoG!,0123456789AbCdFABCDEF,"LoRm!iPsUm!dOlOr!sIt!aMt,!CoNsCtTuR!AdIpIsCiNg!lIt,!Sd!dO!IuSmOd!tMpOr!iNcIdIdUnT!Ut!lAbOr!t!dOlOr!mAgNa!aLiQuA.!UT!NiM!Ad!mInIm!vNiAm,!QuIs!nOsTrUd!xRcItAtIoN!UlLaMcO!LaBoRiS!NiSi!uT!AlIqUiP!X!A!CoMmOdO!CoNsQuAt.!DuIs!aUt!iRuR!DoLoR!In!rPrHnDrIt!iN!VoLuPtAt!vLiT!Ss!cIlLuM!DoLoR!U!FuGiAt!nUlLa!pArIaTuR.!EXcPtUr!sInT!OcCaCaT!CuPiDaTaT!NoN!PrOiDnT,!sUnT!In!cUlPa!qUi!oFfIcIa!dSrUnT!MoLlIt!aNiM!Id!sT!LaBoRuM?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~","!	
",HoW!QuIcKlY!DaFt!jUmPiNg!zBrAs!vX!
8,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then delete all excamation points, question marks, and periods from the string",a87078f00a5b5760de6cb0292040ce11,Thquickbrownfoxjumpsovralazydog,0123456789abcdfABCDEF,"Lormipsumdolorsitamt,consctturadipiscinglit,sddoiusmodtmporincididuntutlabortdolormagnaaliquaUtnimadminimvniam,quisnostrudxrcitationullamcolaborisnisiutaliquipxacommodoconsquatDuisautirurdolorinrprhndritinvoluptatvlitsscillumdolorufugiatnullapariaturExcptursintoccacatcupidatatnonproidnt,suntinculpaquiofficiadsruntmollitanimidstlaborum","""#$%&'()*+,-/:;<=>@[\]^_`{|}~","	
",Howquicklydaftjumpingzbrasvx
9,remove all instances of the letter e from the string then convert the string s to lowercase then remove the first and last two characters of the string,6ab96192d80883e7355e3098d964c9d3, quick brown fox jumps ovr a lazy do,23456789abcdfabcd,"rm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|","
",w quickly daft jumping zbras v
10,remove all instances of the letter e from the string then convert the string s to lowercase then remove every third character from the string,8d7652d9dd5e2e83146e172469ffe71c,h uik ron oxjupsov alay og,124578abdfbcef,"or isu dlo st mt cnsttr diisin lt,sddoiumo tpo iciidntutlaort olr aga liua u nm d inm nim,qus osru xciatonulamo abri nsiutalqup  acomoo onqut.dus utirr olr n prnditinvoupatvlt s ilumdooru ugatnulapaiaur ecpursit ccca cpiatt onpridt,sut n ula uiofica srntmoli aimidstlaorm?","""#%&()+,./;<>?[\^_{|~","	
",owqucky af jmpngzbasvx
11,"remove all instances of the letter e from the string then convert the string s to lowercase then drop the last half of the string, as computed by characters",5921499d32a88b53e32036beb496889f,th quick brown fox j,0123456789,"lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo ","!""#$%&'()*+,-./:"," 	
",how quickly daft 
12,remove all instances of the letter e from the string then convert the string s to lowercase then replace spaces with triple spaces,27955d429cf08ae2d9289813b30828fc,th   quick   brown   fox   jumps   ovr   a   lazy   dog!,0123456789abcdfabcdef,"lorm   ipsum   dolor   sit   amt,   conscttur   adipiscing   lit,   sd   do   iusmod   tmpor   incididunt   ut   labor   t   dolor   magna   aliqua.   ut   nim   ad   minim   vniam,   quis   nostrud   xrcitation   ullamco   laboris   nisi   ut   aliquip   x   a   commodo   consquat.   duis   aut   irur   dolor   in   rprhndrit   in   voluptat   vlit   ss   cillum   dolor   u   fugiat   nulla   pariatur.   excptur   sint   occacat   cupidatat   non   proidnt,   sunt   in   culpa   qui   officia   dsrunt   mollit   anim   id   st   laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~","   	
",how   quickly   daft   jumping   zbras   vx!
13,remove all instances of the letter e from the string then convert the string s to lowercase then reverse the order of words in the string,954c137822d5f1853aca05892f9f1505,dog! lazy a ovr jumps fox brown quick th,0123456789abcdfabcdef,"laborum? st id anim mollit dsrunt officia qui culpa in sunt proidnt, non cupidatat occacat sint excptur pariatur. nulla fugiat u dolor cillum ss vlit voluptat in rprhndrit in dolor irur aut duis consquat. commodo a x aliquip ut nisi laboris ullamco xrcitation nostrud quis vniam, minim ad nim ut aliqua. magna dolor t labor ut incididunt tmpor iusmod do sd lit, adipiscing conscttur amt, sit dolor ipsum lorm","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",,vx! zbras jumping daft quickly how
