id,description,md5,foxdog,hexdigits,lorem,punctuation,zebra
1,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then convert the string s to lowercase then remove the first and last two characters of the string,d6abe65a35fce43d4148a1d264a32693,!quick!brown!fox!jumps!ovr!a!lazy!do,23456789abcdfabcd,"rm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w!quickly!daft!jumping!zbras!v
2,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then convert the string s to lowercase then remove every third character from the string,d4988bf2feb06f6a819390c7e83c5ac9,h!uik!ron!oxjupsov!alay!og,124578abdfbcef,"or!isu!dlo!st!mt!cnsttr!diisin!lt,sddoiumo!tpo!iciidntutlaort!olr!aga!liua!u!nm!d!inm!nim,qus!osru!xciatonulamo!abri!nsiutalqup!!acomoo!onqut.dus!utirr!olr!n!prnditinvoupatvlt!s!ilumdooru!ugatnulapaiaur!ecpursit!ccca!cpiatt!onpridt,sut!n!ula!uiofica!srntmoli!aimidstlaorm?","""#%&()+,./;<>?[\^_{|~",owqucky!af!jmpngzbasvx
3,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then convert the string s to lowercase then drop the last half of the string, as computed by characters",5609bc732538f297230a9d6c82517ede,th!quick!brown!fox!j,0123456789,"lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!","!""#$%&'()*+,-./:",how!quickly!daft!
4,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then convert the string s to lowercase then reverse the order of words in the string,6a5641d1a3f697a65fa0eae5610b7af3,th!quick!brown!fox!jumps!ovr!a!lazy!dog!,0123456789abcdfabcdef,"lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",how!quickly!daft!jumping!zbras!vx!
5,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then convert the string s to lowercase then add the word apples after every word in the string,708de6d23c6505a8dea9b8a8a8499c58,th!quick!brown!fox!jumps!ovr!a!lazy!dog! apples,0123456789abcdfabcdef apples,"lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum? apples","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~ apples",how!quickly!daft!jumping!zbras!vx! apples
6,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then convert the string s to lowercase then make every other character in the string uppercase,ede2d3f2224d03b671139086d37c30e6,Th!qUiCk!bRoWn!fOx!jUmPs!oVr!a!lAzY!DoG!,0123456789AbCdFaBcDeF,"LoRm!iPsUm!dOlOr!sIt!aMt,!CoNsCtTuR!AdIpIsCiNg!lIt,!Sd!dO!IuSmOd!tMpOr!iNcIdIdUnT!Ut!lAbOr!t!dOlOr!mAgNa!aLiQuA.!uT!NiM!Ad!mInIm!vNiAm,!QuIs!nOsTrUd!xRcItAtIoN!UlLaMcO!LaBoRiS!NiSi!uT!AlIqUiP!X!A!CoMmOdO!CoNsQuAt.!DuIs!aUt!iRuR!DoLoR!In!rPrHnDrIt!iN!VoLuPtAt!vLiT!Ss!cIlLuM!DoLoR!U!FuGiAt!nUlLa!pArIaTuR.!eXcPtUr!sInT!OcCaCaT!CuPiDaTaT!NoN!PrOiDnT,!sUnT!In!cUlPa!qUi!oFfIcIa!dSrUnT!MoLlIt!aNiM!Id!sT!LaBoRuM?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",HoW!QuIcKlY!DaFt!jUmPiNg!zBrAs!vX!
7,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then convert the string s to lowercase then delete all excamation points, question marks, and periods from the string",577670aef1192c9d60817969b69e9fb7,thquickbrownfoxjumpsovralazydog,0123456789abcdfabcdef,"lormipsumdolorsitamt,consctturadipiscinglit,sddoiusmodtmporincididuntutlabortdolormagnaaliquautnimadminimvniam,quisnostrudxrcitationullamcolaborisnisiutaliquipxacommodoconsquatduisautirurdolorinrprhndritinvoluptatvlitsscillumdolorufugiatnullapariaturexcptursintoccacatcupidatatnonproidnt,suntinculpaquiofficiadsruntmollitanimidstlaborum","""#$%&'()*+,-/:;<=>@[\]^_`{|}~",howquicklydaftjumpingzbrasvx
8,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove the first and last two characters of the string then remove every third character from the string,cf8b18ae07caa8a4822a8074a381195d,quckbrwnfo!jmp!or!!lzydo,34679acdABD,"m!psm!olr!itam,!oncturadpicig!it!s!d!ismd!mpr!ncdiun!u!lbo!tdoormanaalqu.!t!imadmiimvnam!qisnotrd!rctaio!ulacolaors!is!u!aiqipx!!cmmdocosqat!Disau!iurdoorinrphnri!i!vluta!vitsscilu!dlo!ufuia!nll!pritu.!xctu!sntocact!updaatno!point!sntincupaqu!ofiiadsun!mllt!ni!i!s!lbou",$%'(*+-.:;=>@[]^`{,!qiclydat!umin!zra!v
9,"remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove the first and last two characters of the string then drop the last half of the string, as computed by characters",a2fc25e24c8b7d73373a79bfec38b814,!quick!brown!fox!j,23456789,"rm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!","#$%&'()*+,-./:",w!quickly!daft!
10,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string then remove the first and last two characters of the string then reverse the order of words in the string,099239df5cdf6a68fd626770cee9301f,!quick!brown!fox!jumps!ovr!a!lazy!do,23456789abcdfABCD,"rm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w!quickly!daft!jumping!zbras!v
