learning_rate,step,training_loss,epoch
0.0,0,,
,0,12.08980941772461,0
5.0000000000000004e-08,1,,
,1,12.137948989868164,0
1.0000000000000001e-07,2,,
,2,11.873104095458984,0
1.5000000000000002e-07,3,,
,3,12.071797370910645,0
2.0000000000000002e-07,4,,
,4,12.01641845703125,0
2.5000000000000004e-07,5,,
,5,12.196061134338379,0
3.0000000000000004e-07,6,,
,6,12.167454719543457,0
3.5000000000000004e-07,7,,
,7,12.047821998596191,0
4.0000000000000003e-07,8,,
,8,11.902414321899414,0
4.5e-07,9,,
,9,11.896278381347656,0
5.000000000000001e-07,10,,
,10,12.077553749084473,0
5.5e-07,11,,
,11,11.852581024169922,0
6.000000000000001e-07,12,,
,12,12.181326866149902,0
6.5e-07,13,,
,13,11.766881942749023,0
7.000000000000001e-07,14,,
,14,11.87161636352539,0
7.5e-07,15,,
,15,11.939227104187012,0
8.000000000000001e-07,16,,
,16,11.874856948852539,0
8.500000000000001e-07,17,,
,17,11.84855842590332,0
9e-07,18,,
,18,11.871251106262207,0
9.5e-07,19,,
,19,11.587054252624512,0
1.0000000000000002e-06,20,,
,20,11.687651634216309,0
1.0500000000000001e-06,21,,
,21,11.62119197845459,0
1.1e-06,22,,
,22,11.574502944946289,0
1.15e-06,23,,
,23,11.653375625610352,0
1.2000000000000002e-06,24,,
,24,11.742981910705566,0
1.25e-06,25,,
,25,11.685029029846191,0
1.3e-06,26,,
,26,11.673022270202637,0
1.35e-06,27,,
,27,11.470823287963867,0
1.4000000000000001e-06,28,,
,28,11.236738204956055,0
1.45e-06,29,,
,29,11.206629753112793,0
1.5e-06,30,,
,30,11.208745956420898,0
1.55e-06,31,,
,31,11.300117492675781,0
1.6000000000000001e-06,32,,
,32,11.069637298583984,0
1.65e-06,33,,
,33,11.088519096374512,0
1.7000000000000002e-06,34,,
,34,10.8712797164917,0
1.7500000000000002e-06,35,,
,35,10.88107681274414,0
1.8e-06,36,,
,36,11.073500633239746,0
1.85e-06,37,,
,37,10.69064712524414,0
1.9e-06,38,,
,38,10.493573188781738,0
1.95e-06,39,,
,39,10.445663452148438,0
2.0000000000000003e-06,40,,
,40,10.496496200561523,0
2.0500000000000003e-06,41,,
,41,10.601940155029297,0
2.1000000000000002e-06,42,,
,42,10.46472454071045,0
2.1499999999999997e-06,43,,
,43,10.166219711303711,0
2.2e-06,44,,
,44,10.009795188903809,0
2.25e-06,45,,
,45,9.952347755432129,0
2.3e-06,46,,
,46,10.038763046264648,0
2.35e-06,47,,
,47,9.941756248474121,0
2.4000000000000003e-06,48,,
,48,9.775934219360352,0
2.4500000000000003e-06,49,,
,49,9.737406730651855,0
2.5e-06,50,,
,50,9.545772552490234,0
2.55e-06,51,,
,51,9.469351768493652,0
2.6e-06,52,,
,52,9.648149490356445,0
2.65e-06,53,,
,53,9.299947738647461,0
2.7e-06,54,,
,54,8.819207191467285,0
2.7500000000000004e-06,55,,
,55,9.169096946716309,0
2.8000000000000003e-06,56,,
,56,9.061996459960938,0
2.8500000000000002e-06,57,,
,57,8.963457107543945,0
2.9e-06,58,,
,58,8.387040138244629,0
2.95e-06,59,,
,59,8.652791023254395,0
3e-06,60,,
,60,8.759613037109375,0
3.05e-06,61,,
,61,8.329922676086426,0
3.1e-06,62,,
,62,8.090547561645508,0
3.1500000000000003e-06,63,,
,63,8.037261009216309,0
3.2000000000000003e-06,64,,
,64,7.780124187469482,0
3.2500000000000002e-06,65,,
,65,8.03525161743164,0
3.3e-06,66,,
,66,7.818368434906006,0
3.3500000000000005e-06,67,,
,67,7.575769901275635,0
3.4000000000000005e-06,68,,
,68,7.366274833679199,0
3.4500000000000004e-06,69,,
,69,7.230813503265381,0
3.5000000000000004e-06,70,,
,70,7.062297821044922,0
3.55e-06,71,,
,71,7.197287082672119,0
3.6e-06,72,,
,72,6.580266952514648,0
3.6499999999999998e-06,73,,
,73,6.574434757232666,0
3.7e-06,74,,
,74,6.244272232055664,0
3.75e-06,75,,
,75,6.262455463409424,0
3.8e-06,76,,
,76,6.482645511627197,0
3.85e-06,77,,
,77,5.903161525726318,0
3.9e-06,78,,
,78,5.867061138153076,0
3.95e-06,79,,
,79,5.519960403442383,0
4.000000000000001e-06,80,,
,80,5.694580554962158,0
4.05e-06,81,,
,81,5.487407207489014,0
4.1000000000000006e-06,82,,
,82,5.367654800415039,0
4.15e-06,83,,
,83,5.17662239074707,0
4.2000000000000004e-06,84,,
,84,4.943579196929932,0
4.250000000000001e-06,85,,
,85,5.112306594848633,0
4.2999999999999995e-06,86,,
,86,5.052853584289551,0
4.35e-06,87,,
