learning_rate,step,training_loss,epoch
0.0,0,,
,0,12.118318557739258,0
5.0000000000000004e-08,1,,
,1,12.218838691711426,0
1.0000000000000001e-07,2,,
,2,12.17270278930664,0
1.5000000000000002e-07,3,,
,3,11.98837947845459,0
2.0000000000000002e-07,4,,
,4,12.0742769241333,0
2.5000000000000004e-07,5,,
,5,12.208673477172852,0
3.0000000000000004e-07,6,,
,6,12.180383682250977,0
3.5000000000000004e-07,7,,
,7,12.209699630737305,0
4.0000000000000003e-07,8,,
,8,11.963831901550293,0
4.5e-07,9,,
,9,12.135038375854492,0
5.000000000000001e-07,10,,
,10,11.95405387878418,0
5.5e-07,11,,
,11,12.040169715881348,0
6.000000000000001e-07,12,,
,12,12.012345314025879,0
6.5e-07,13,,
,13,12.073466300964355,0
7.000000000000001e-07,14,,
,14,11.999119758605957,0
7.5e-07,15,,
,15,11.934724807739258,0
8.000000000000001e-07,16,,
,16,11.855266571044922,0
8.500000000000001e-07,17,,
,17,11.736831665039062,0
9e-07,18,,
,18,11.763840675354004,0
9.5e-07,19,,
,19,11.917078971862793,0
1.0000000000000002e-06,20,,
,20,11.685455322265625,0
1.0500000000000001e-06,21,,
,21,11.607461929321289,0
1.1e-06,22,,
,22,11.69233226776123,0
1.15e-06,23,,
,23,11.660096168518066,0
1.2000000000000002e-06,24,,
,24,11.70709228515625,0
1.25e-06,25,,
,25,11.597976684570312,0
1.3e-06,26,,
,26,11.638830184936523,0
1.35e-06,27,,
,27,11.499398231506348,0
1.4000000000000001e-06,28,,
,28,11.475236892700195,0
1.45e-06,29,,
,29,11.40905475616455,0
1.5e-06,30,,
,30,11.421285629272461,0
1.55e-06,31,,
,31,11.284856796264648,0
1.6000000000000001e-06,32,,
,32,11.331971168518066,0
1.65e-06,33,,
,33,10.824553489685059,0
1.7000000000000002e-06,34,,
,34,11.08053207397461,0
1.7500000000000002e-06,35,,
,35,10.862239837646484,0
1.8e-06,36,,
,36,10.757292747497559,0
1.85e-06,37,,
,37,10.842265129089355,0
1.9e-06,38,,
