learning_rate,step,training_loss,epoch
0.0,0,,
,0,11.958152770996094,0
5.000000000000001e-07,1,,
,1,12.03645133972168,0
1.0000000000000002e-06,2,,
,2,12.038251876831055,0
1.5e-06,3,,
,3,11.991607666015625,0
2.0000000000000003e-06,4,,
,4,12.44105052947998,0
2.5e-06,5,,
,5,11.652848243713379,0
3e-06,6,,
,6,11.932064056396484,0
3.5000000000000004e-06,7,,
,7,12.119668960571289,0
4.000000000000001e-06,8,,
,8,11.897247314453125,0
4.5e-06,9,,
,9,11.446327209472656,0
5e-06,10,,
,10,11.585099220275879,0
5.500000000000001e-06,11,,
,11,11.102060317993164,0
6e-06,12,,
,12,11.17723274230957,0
6.5000000000000004e-06,13,,
,13,10.710428237915039,0
7.000000000000001e-06,14,,
,14,10.82615852355957,0
7.5e-06,15,,
,15,10.434114456176758,0
8.000000000000001e-06,16,,
,16,10.127954483032227,0
8.500000000000002e-06,17,,
,17,9.670242309570312,0
9e-06,18,,
,18,9.095685958862305,0
9.5e-06,19,,
,19,9.256898880004883,0
1e-05,20,,
,20,9.174705505371094,0
1.05e-05,21,,
,21,8.616833686828613,0
1.1000000000000001e-05,22,,
,22,8.480849266052246,0
1.1500000000000002e-05,23,,
,23,7.918586730957031,0
1.2e-05,24,,
,24,7.335028648376465,0
1.25e-05,25,,
,25,6.837204933166504,0
1.3000000000000001e-05,26,,
,26,6.284457206726074,0
1.3500000000000001e-05,27,,
,27,5.980556011199951,0
1.4000000000000001e-05,28,,
,28,6.193510055541992,0
1.45e-05,29,,
,29,5.711219310760498,0
1.5e-05,30,,
,30,5.147755146026611,0
1.55e-05,31,,
,31,5.05937385559082,0
1.6000000000000003e-05,32,,
,32,5.0478363037109375,0
1.65e-05,33,,
,33,4.597344875335693,0
1.7000000000000003e-05,34,,
,34,4.943240642547607,0
1.75e-05,35,,
,35,4.384724140167236,0
1.8e-05,36,,
,36,4.470407485961914,0
1.85e-05,37,,
,37,4.108288764953613,0
1.9e-05,38,,
,38,4.563287734985352,0
1.9500000000000003e-05,39,,
