learning_rate,step,training_loss,epoch
0.0,0,,
,0,12.083048820495605,0
5.000000000000001e-07,1,,
,1,12.088349342346191,0
1.0000000000000002e-06,2,,
,2,12.41519546508789,0
1.5e-06,3,,
,3,11.914262771606445,0
2.0000000000000003e-06,4,,
,4,11.88116455078125,0
2.5e-06,5,,
,5,11.741068840026855,0
3e-06,6,,
,6,12.313348770141602,0
3.5000000000000004e-06,7,,
,7,11.550186157226562,0
4.000000000000001e-06,8,,
,8,11.545848846435547,0
4.5e-06,9,,
,9,11.332979202270508,0
5e-06,10,,
,10,11.500909805297852,0
5.500000000000001e-06,11,,
,11,11.374752044677734,0
6e-06,12,,
,12,10.726598739624023,0
6.5000000000000004e-06,13,,
,13,11.040184020996094,0
7.000000000000001e-06,14,,
,14,10.544780731201172,0
7.5e-06,15,,
,15,10.31484317779541,0
8.000000000000001e-06,16,,
,16,9.942330360412598,0
8.500000000000002e-06,17,,
,17,10.004936218261719,0
9e-06,18,,
,18,9.6295804977417,0
9.5e-06,19,,
,19,9.11520004272461,0
1e-05,20,,
,20,8.775548934936523,0
1.05e-05,21,,
,21,8.34183120727539,0
1.1000000000000001e-05,22,,
,22,8.449142456054688,0
1.1500000000000002e-05,23,,
,23,7.6379475593566895,0
1.2e-05,24,,
,24,7.2946319580078125,0
1.25e-05,25,,
,25,7.137571334838867,0
1.3000000000000001e-05,26,,
,26,6.321499824523926,0
1.3500000000000001e-05,27,,
,27,5.829809188842773,0
1.4000000000000001e-05,28,,
,28,5.706987380981445,0
1.45e-05,29,,
,29,5.549526214599609,0
1.5e-05,30,,
,30,4.848056793212891,0
1.55e-05,31,,
,31,4.963245868682861,0
1.6000000000000003e-05,32,,
,32,4.738431930541992,0
1.65e-05,33,,
,33,4.672648906707764,0
1.7000000000000003e-05,34,,
,34,4.418996334075928,0
1.75e-05,35,,
,35,5.5277099609375,0
1.8e-05,36,,
,36,4.431805610656738,0
1.85e-05,37,,
,37,4.025531768798828,0
1.9e-05,38,,
,38,4.060057163238525,0
1.9500000000000003e-05,39,,
,39,4.043422222137451,0
2e-05,40,,
