id,description,md5,extended,sample,behavior,accuracy,foxdog,hexdigits,lorem,punctuation,zebra
1,remove all instances of the letter e from the string,330a5d6abe2e16850a2b1e6c631327eb,Default,0,Success,1.0,Th quick brown fox jumps ovr a lazy dog!,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How quickly daft jumping zbras vx!
1,remove all instances of the letter e from the string,330a5d6abe2e16850a2b1e6c631327eb,Least-to-Most,0,Success,1.0,Th quick brown fox jumps ovr a lazy dog!,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How quickly daft jumping zbras vx!
2,replace all spaces with exclamation points in the string,e352e2018e7387c3b7b09abffe962cfc,Default,0,Success,1.0,The!quick!brown!fox!jumps!over!a!lazy!dog!,0123456789abcdefABCDEF,"Lorem!ipsum!dolor!sit!amet,!consectetur!adipiscing!elit,!sed!do!eiusmod!tempor!incididunt!ut!labore!et!dolore!magna!aliqua.!Ut!enim!ad!minim!veniam,!quis!nostrud!exercitation!ullamco!laboris!nisi!ut!aliquip!ex!ea!commodo!consequat.!Duis!aute!irure!dolor!in!reprehenderit!in!voluptate!velit!esse!cillum!dolore!eu!fugiat!nulla!pariatur.!Excepteur!sint!occaecat!cupidatat!non!proident,!sunt!in!culpa!qui!officia!deserunt!mollit!anim!id!est!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How!quickly!daft!jumping!zebras!vex!
2,replace all spaces with exclamation points in the string,e352e2018e7387c3b7b09abffe962cfc,Least-to-Most,0,Success,1.0,The!quick!brown!fox!jumps!over!a!lazy!dog!,0123456789abcdefABCDEF,"Lorem!ipsum!dolor!sit!amet,!consectetur!adipiscing!elit,!sed!do!eiusmod!tempor!incididunt!ut!labore!et!dolore!magna!aliqua.!Ut!enim!ad!minim!veniam,!quis!nostrud!exercitation!ullamco!laboris!nisi!ut!aliquip!ex!ea!commodo!consequat.!Duis!aute!irure!dolor!in!reprehenderit!in!voluptate!velit!esse!cillum!dolore!eu!fugiat!nulla!pariatur.!Excepteur!sint!occaecat!cupidatat!non!proident,!sunt!in!culpa!qui!officia!deserunt!mollit!anim!id!est!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How!quickly!daft!jumping!zebras!vex!
3,convert the string s to lowercase,3943292a75b5d075393cfc155579cbd2,Default,0,Success,1.0,the quick brown fox jumps over a lazy dog!,0123456789abcdefabcdef,"lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",how quickly daft jumping zebras vex!
3,convert the string s to lowercase,3943292a75b5d075393cfc155579cbd2,Least-to-Most,0,Success,1.0,the quick brown fox jumps over a lazy dog!,0123456789abcdefabcdef,"lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",how quickly daft jumping zebras vex!
4,remove the first and last two characters of the string,603c049e5086425831ae8c78af777e9a,Default,0,Success,1.0,e quick brown fox jumps over a lazy do,23456789abcdefABCD,"rem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w quickly daft jumping zebras ve
4,remove the first and last two characters of the string,603c049e5086425831ae8c78af777e9a,Least-to-Most,0,Success,1.0,e quick brown fox jumps over a lazy do,23456789abcdefABCD,"rem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w quickly daft jumping zebras ve
5,removes all vowels from the string,f531cea6de9f470913a4e2a9e4193623,Default,0,Success,0.6,Th qck brwn fx jmps vr  lzy dg!,0123456789bcdfABCDEF,"Lrm psm dlr st mt, cnscttr dpscng lt, sd d smd tmpr ncddnt t lbr t dlr mgn lq. Ut nm d mnm vnm, qs nstrd xrcttn llmc lbrs ns t lqp x  cmmd cnsqt. Ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr  fgt nll prtr. Excptr snt ccct cpdtt nn prdnt, snt n clp q ffc dsrnt mllt nm d st lbrm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",Hw qckly dft jmpng zbrs vx!
5,removes all vowels from the string,f531cea6de9f470913a4e2a9e4193623,Least-to-Most,0,Success,0.6,Th qck brwn fx jmps vr  lzy dg!,0123456789bcdfABCDEF,"Lrm psm dlr st mt, cnscttr dpscng lt, sd d smd tmpr ncddnt t lbr t dlr mgn lq. Ut nm d mnm vnm, qs nstrd xrcttn llmc lbrs ns t lqp x  cmmd cnsqt. Ds t rr dlr n rprhndrt n vlptt vlt ss cllm dlr  fgt nll prtr. Excptr snt ccct cpdtt nn prdnt, snt n clp q ffc dsrnt mllt nm d st lbrm?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",Hw qckly dft jmpng zbrs vx!
6,remove every third character from the string,02256474f5d7e59736b6e2f3148e7ba9,Default,0,Success,0.0,T i o xusv lyo,0369cfCF,"Leiudos e nct isnets  uotp cinulo  leaalu  iamivi,u suerti lclosi  iieecmooea iaereorneenr  lteets lmorefi l rt.xpustcetudan oe,u  l ifc su ltn  tar?",!$'*-:=@]`},H ildtui bse
6,remove every third character from the string,02256474f5d7e59736b6e2f3148e7ba9,Least-to-Most,0,Success,0.0,T i o xusv lyo,0369cfCF,"Leiudos e nct isnets  uotp cinulo  leaalu  iamivi,u suerti lclosi  iieecmooea iaereorneenr  lteets lmorefi l rt.xpustcetudan oe,u  l ifc su ltn  tar?",!$'*-:=@]`},H ildtui bse
7,"drop the last half of the string, as computed by characters",346c566ac114e2a6812c10d204bade76,Default,0,Success,1.0,The quick brown fox j,0123456789a,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo c","!""#$%&'()*+,-./:",How quickly daft j
7,"drop the last half of the string, as computed by characters",346c566ac114e2a6812c10d204bade76,Least-to-Most,0,Success,1.0,The quick brown fox j,0123456789a,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo c","!""#$%&'()*+,-./:",How quickly daft j
