id,description,md5,extended,sample,behavior,accuracy,foxdog,hexdigits,lorem,punctuation,zebra
1,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string,eab8b35e269b9896aee9bb15403b67b5,True,0,Success,0.4,Th quick brown fox jumps ovr a lazy dog!,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How quickly daft jumping zbras vx!
1,remove all instances of the letter e from the string then replace all spaces with exclamation points in the string,eab8b35e269b9896aee9bb15403b67b5,False,0,Success,1.0,Th!quick!brown!fox!jumps!ovr!a!lazy!dog!,0123456789abcdfABCDEF,"Lorm!ipsum!dolor!sit!amt,!conscttur!adipiscing!lit,!sd!do!iusmod!tmpor!incididunt!ut!labor!t!dolor!magna!aliqua.!Ut!nim!ad!minim!vniam,!quis!nostrud!xrcitation!ullamco!laboris!nisi!ut!aliquip!x!a!commodo!consquat.!Duis!aut!irur!dolor!in!rprhndrit!in!voluptat!vlit!ss!cillum!dolor!u!fugiat!nulla!pariatur.!Excptur!sint!occacat!cupidatat!non!proidnt,!sunt!in!culpa!qui!officia!dsrunt!mollit!anim!id!st!laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How!quickly!daft!jumping!zbras!vx!
2,remove all instances of the letter e from the string then convert the string s to lowercase,f5f16674bc96dbcacddbea0fd8349e10,True,0,Success,0.2,Th quick brown fox jumps ovr a lazy dog!,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How quickly daft jumping zbras vx!
2,remove all instances of the letter e from the string then convert the string s to lowercase,f5f16674bc96dbcacddbea0fd8349e10,False,0,Success,0.6,th quick brown fox jumps ovr a lazy dog!,0123456789abcdfabcdf,"lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. xcptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",how quickly daft jumping zbras vx!
3,remove all instances of the letter e from the string then remove the first and last two characters of the string,62fe5726a35bcd2c9ed9b98eaaa946b6,True,0,Success,0.0,Th quick brown fox jumps ovr a lazy dog!,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How quickly daft jumping zbras vx!
3,remove all instances of the letter e from the string then remove the first and last two characters of the string,62fe5726a35bcd2c9ed9b98eaaa946b6,False,0,Success,1.0, quick brown fox jumps ovr a lazy do,23456789abcdfABCD,"rm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laboru","#$%&'()*+,-./:;<=>?@[\]^_`{|",w quickly daft jumping zbras v
4,remove all instances of the letter e from the string then remove every third character from the string,87f9745ecb90cd3e518f537906fc4ada,True,0,Success,0.0,Th quick brown fox jumps ovr a lazy dog!,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How quickly daft jumping zbras vx!
4,remove all instances of the letter e from the string then remove every third character from the string,87f9745ecb90cd3e518f537906fc4ada,False,0,Success,0.0,Tqcbwf m r zd!,0369cAD,"Lmpmoria,ocuapcgi   sdmrndu  b domnaq.tiamiva intdrti lclosi  iix mdcsa ia udoirhr  lt iscl l fi l rt.xt noatudan on nicpq fidu ltn   bu",!$'*-:=@]`},H ildtui r !
5,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters",b085331cb45c64d0d3c9b5eb0709ac76,True,0,Success,0.0,Th quick brown fox jumps ovr a lazy dog!,0123456789abcdfABCDEF,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo consquat. Duis aut irur dolor in rprhndrit in voluptat vlit ss cillum dolor u fugiat nulla pariatur. Excptur sint occacat cupidatat non proidnt, sunt in culpa qui officia dsrunt mollit anim id st laborum?","!""#$%&'()*+,-./:;<=>?@[\]^_`{|}~",How quickly daft jumping zbras vx!
5,"remove all instances of the letter e from the string then drop the last half of the string, as computed by characters",b085331cb45c64d0d3c9b5eb0709ac76,False,0,Success,1.0,Th quick brown fox j,0123456789,"Lorm ipsum dolor sit amt, conscttur adipiscing lit, sd do iusmod tmpor incididunt ut labor t dolor magna aliqua. Ut nim ad minim vniam, quis nostrud xrcitation ullamco laboris nisi ut aliquip x a commodo ","!""#$%&'()*+,-./:",How quickly daft 
